"x","y","n","distinct sides","Elapsed Time (ms)"
512,2176,100,182,665
512,2304,100,185,748
512,2432,100,185,802
512,2560,100,183,871
512,2688,100,190,961
512,2816,100,182,972
512,2944,100,186,997
512,3072,100,180,1055
512,3200,100,188,1139
512,3328,100,181,1213
512,3456,100,187,1335
512,3584,100,181,1275
512,3712,100,189,1346
512,3840,100,184,1436
512,3968,100,187,1472
512,4096,100,185,1511
512,4224,100,184,1570
512,4352,100,186,1727
512,4480,100,185,1709
512,4608,100,192,1804
512,4736,100,185,1760
512,4864,100,187,1855
512,4992,100,183,1838
512,5120,100,187,2034
512,5248,100,194,2164
512,5376,100,192,2159
512,5504,100,186,2051
512,5632,100,193,2272
512,5760,100,190,2299
512,5888,100,185,2262
512,6016,100,185,2386
512,6144,100,191,2500
512,6272,100,190,2418
512,6400,100,190,2622
512,6528,100,186,2601
512,6656,100,189,2744
512,6784,100,192,2972
512,6912,100,191,2870
512,7040,100,191,2915
512,7168,100,192,3327
512,7296,100,191,3185
512,7424,100,189,3350
512,7552,100,189,3341
512,7680,100,191,3418
512,7808,100,185,3334
512,7936,100,190,3525
512,8064,100,187,3543
512,8192,100,190,3745
640,128,100,138,35
640,256,100,152,71
640,384,100,155,99
640,512,100,156,114
640,640,100,162,126
640,768,100,169,177
640,896,100,179,232
640,1024,100,181,292
640,1152,100,179,346
640,1280,100,178,433
640,1408,100,185,486
640,1536,100,183,539
640,1664,100,177,579
640,1792,100,187,680
640,1920,100,189,724
640,2048,100,186,788
640,2176,100,188,913
640,2304,100,191,954
640,2432,100,192,1066
640,2560,100,184,1060
640,2688,100,185,1156
640,2816,100,188,1282
640,2944,100,190,1361
640,3072,100,193,1518
640,3200,100,190,1583
640,3328,100,188,1566
640,3456,100,187,1663
640,3584,100,189,1621
640,3712,100,193,1925
640,3840,100,186,1961
640,3968,100,190,1958
640,4096,100,186,2069
640,4224,100,188,2096
640,4352,100,195,2259
640,4480,100,189,2145
640,4608,100,188,2388
640,4736,100,191,2458
640,4864,100,186,2407
640,4992,100,186,2606
640,5120,100,191,2619
640,5248,100,191,2793
640,5376,100,185,2760
640,5504,100,192,2977
640,5632,100,187,2989
640,5760,100,195,3151
640,5888,100,193,3122
640,6016,100,186,3184
640,6144,100,197,3505
640,6272,100,188,3418
640,6400,100,189,3510
640,6528,100,192,3788
640,6656,100,190,3575
640,6784,100,192,3680
640,6912,100,188,3852
640,7040,100,193,3919
640,7168,100,193,4134
640,7296,100,191,4112
640,7424,100,193,4242
640,7552,100,195,4454
640,7680,100,191,4518
640,7808,100,190,4290
640,7936,100,187,4417
640,8064,100,187,4573
640,8192,100,191,4861
768,128,100,159,47
768,256,100,167,92
